subject,time,grade,PF
문학,3,B+,
프로젝트기반연구I,2,A0,
고급생명과학I,3,A+,
정치경제,3,A0,
일반생명과학실험I,1,B+,
생물다양성과 환경I,2,A0,
생명정보학,2,A0,
물리학 및 실험I,3,B0,
