subject,time,grade,PF
영어독해와 작문,3,A+,
확률과 통계,3,B-,
미적분학I,3,C0,
공학개론,3,A0,
고급생명과학II,3,A+,
일반생명과학,3,A0,
생명과학첨단기기활용법II,2,A+,
생물다양성과 환경II,2,A0,
뇌와 행동,2,A0,
논리적 글쓰기,3,A0,
