subject,time,grade,PF
국어II,3,A0,
세계지리,3,A0,
영어II,3,A+,
음악,1,A-,
수학II,4,B-,
화학 및 실험II,3,B-,
생명과학 및 실험II,3,A+,
지구과학 및 실험II,3,B-,
프로그래밍I,3,C+,
창의적 디자인,2,A+,
물리학 및 실험II,3,B-,
