subject,exam_1,exam_2,quiz_score,task_score,grade
수학세미나I,85.0,0.0,"0.0,0.0","0.0,0.0",25.500002
선형대수학,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0",,0.0
생명정보학,,,"0.0,0.0","0.0,0.0",0.0
미적분학II,0.0,0.0,"0.0,0.0",0.0,0.0
일본어I,0.0,0.0,"0.0,0.0",,0.0
물리학세미나I,0.0,0.0,,"0.0,0.0",0.0
정보과학세미나,,0.0,,"0.0,0.0,0.0,0.0",0.0
정보과학프로젝트I,,0.0,"0.0,0.0,0.0",0.0,0.0
