subject,time,grade,PF
국어II,3,A+,
세계지리,3,A+,
영어II,3,A+,
음악,1,A+,
수학II,4,A+,
화학 및 실험II,3,A+,
생명과학 및 실험II,3,A+,
지구과학 및 실험II,3,A+,
프로그래밍I,3,A+,
창의적 디자인,2,A+,
물리학 및 실험II,3,A+,
