subject,time,grade,PF
국어I,3,A-,
영어I,3,A0,
한국사,3,A-,
화학 및 실험I,3,A0,
생명과학 및 실험I,3,A+,
지구과학 및 실험I,3,B+,
정보과학개론,3,A+,
아티언스,2,A0,
미술,1,A+,
수학I,4,A+,
물리학 및 실험I,3,A0,
