subject,time,grade,PF
수학세미나I,3,B-,
생명과학세미나I,3,A+,
수학I,4,B+,
미적분학입문,4,A-,
창의적 글쓰기,2,A+,
시사영어,2,A+,
비주얼커뮤니케이션,2,A+,
중국어I,2,A+,
